year,stage,date,puzzle_pieces,time_limit,puzzle_image_url,rank,name1,name2,country,origin1,origin2,time,time_seconds,pieces_completed,gap,cumulative_gap,qualified
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,1,Demelza Becerra Robledillo,Ángel Heras Salcedo,Spain,Algeciras (Cádiz),Soria,00:34:34,2074,,-,-,False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,2,Jana Ondroušková,Katerina Novotna,Czech Republic,Brno,Prague,00:35:13,2113,,+ 39'',at  39'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,3,Irina Batalova,Natalia Komarova,Russia,Novosibirsk,,00:36:40,2200,,+1' 27'',at 2' 06',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,4,Ana Isabel Jimeno Jordá,Ana Gil Luciano,Spain,Madrid,,00:37:03,2223,,+ 23'',at 2' 29'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,5,Galina Medvedeva,Marina Radchenko,Russia,Novosibirsk,,00:37:25,2245,,+ 22'',at 2' 51'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,6,Sarah Mills,Claire Heyes,United Kingdom,Norwich (Norfolk),,00:38:49,2329,,+1' 24'',at 4' 15'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,7,Soraya Pérez Carayol,Alejandro Darias Mateos,Spain,Ibi (Alicante),Hospitalet de Llobregat (Barcelona),00:39:17,2357,,+ 28'',at 4' 43'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,8,Catherine Valentin,Patrick Kreps,Belgium,Bruxelles,,00:39:19,2359,,+ 02',at 4' 45'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,9,Olga Popova,Ekaterina Mishanina,Russia,Novosibirsk,Kyshtym (Chelybinskaya),00:40:17,2417,,+ 58'',at 5' 43'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,10,Dmitry Makarenko,Irina Akopova,Russia,Moscow,Rostov,00:42:09,2529,,+1' 52'',at 7' 35'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,11,Pelin Çelik,Ayse Dilara Düğmeci,Türkiye,İstanbul,Estambul,00:42:17,2537,,+ 08',at 7' 43'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,12,Cristina López Rodríguez,Rocío Escribano Granados,Spain,Móstoles (Madrid),Aranjuez (Madrid),00:43:23,2603,,+1' 06',at 8' 49'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,13,Ednéia Silveira,Daniela De Olivera Dinato,Brazil,Cruzeiro (São Paulo),Campinas (São Paulo),00:43:55,2635,,+ 32'',at 9' 21'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,14,Silvia Hernández Cámara,Mª de los Ángeles De la Coba García,Spain,Alcobendas (Madrid),La Laguna (Santa Cruz de Tenerife),00:44:23,2663,,+ 28'',at 9' 49'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,15,Luisa Uhlařová,Radka Pečinková,Czech Republic,Ostrava,,00:45:09,2709,,+ 46'',at 10' 35'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,16,Ignacio Torrecillas Martínez,Carmen Hermida Díaz,Spain,Alcobendas (Madrid),,00:45:32,2732,,+ 23'',at 10' 58'',False
