year,stage,date,puzzle_pieces,time_limit,rank,team_name,members,country,origin,puzzle_partial_ids,puzzle_image_urls,time,time_seconds,pieces_completed,gap,cumulative_gap,qualified
2019,final,23/09/2019,5000,08:00:00,1,Siberian Team,Irina Batalova / Valentina Baburchenkova / Natalia Komarova / Galina Medvedeva / Marina Radchenko,Russia,Novosibirsk,1/3/4/2,https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png,04:11:17,15077,,-,-,False
2019,final,23/09/2019,5000,08:00:00,2,Czech Dragons,Jana Hanzelková / Katerina Novotna / Luisa Uhlařová / Radka Pečinková,Czech Republic,Praga,1/2/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,04:20:42,15642,,+9' 25'',at 9' 25'',False
2019,final,23/09/2019,5000,08:00:00,3,Russia Stella-Puzzler.su,Dmitry Makarenko / Irina Akopova / Olga Popova / Ekaterina Mishanina,Russia,Moscow,1/2/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,04:29:45,16185,,+9' 03',at 18' 28'',False
2019,final,23/09/2019,5000,08:00:00,4,Supernenas,Cristina López Rodríguez / Soledad Sánchez de Toro Voto / Demelza Becerra Robledillo / Rocío Escribano Granados / Jaxeline Blanco Ruiz,Spain,"Móstoles, Aranjuez, Valladolid, Málaga, Algeciras",3/4/2/1,https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png,04:43:59,17039,,+14' 14'',at 32' 42'',False
2019,final,23/09/2019,5000,08:00:00,5,Non Stop,Ana Gil Luciano / Ana Isabel Jimeno Jordá / David Caballero Calzado / Julio Sánchez de Toro Voto / Carlos González Comella,Spain,Madrid,2/4/3/1,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png,05:08:12,18492,,+24' 13'',at 56' 55'',False
2019,final,23/09/2019,5000,08:00:00,6,We are puzzled!!,Catherine Valentin / Patrick Kreps / Maria Dolors Torra Torreguitart / Mateu Torra Torreguitart,Belgium,Bruxelles,1/2/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,05:12:14,18734,,+4' 02',at 60' 57'',False
2019,final,23/09/2019,5000,08:00:00,7,Superpiezas,Soraya Pérez Carayol / Fernando Iglesias Martín / Ángel Heras Salcedo / Mónica Santiago de Fuentes / Gonzalo López Santos,Spain,"Ibi(Alicante), Sonseca(Toledo), Soria, Valladolid, Segovia",2/1/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,05:17:28,19048,,+5' 14'',at 66' 11'',False
2019,final,23/09/2019,5000,08:00:00,8,From Russia with love,Maria Antonenkova / Ekaterina Khvostova / Anastasia Chukina / Maria Solovyeva,Russia,Saint Petesburg,2/3/1/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,05:30:05,19805,,+12' 37'',at 78' 48'',False
2019,final,23/09/2019,5000,08:00:00,9,Spuzzles II,Maria Jesús Gómez Fernández / Raquel Pérez Mesón / María Pérez Marcos / Laura Muñoz Arenales,Spain,Madrid,4/1/2/3,https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,06:18:02,22682,,+47' 57'',at 126' 45'',False
2019,final,23/09/2019,5000,08:00:00,10,El Grup,Isabel Sonsona Torrent / Pilar Sonsona Torrent / Susana Pérez Van Deenen / Mª Ángeles Latorre Viladoms / Johanna María Van Deenen,Spain,Barcelona,2/1/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,06:21:30,22890,,+3' 28'',at 130' 13'',False
